# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "--countReadPairs" "-t" "transcript" "-g" "transcript_id" "-a" "references/GCF_001617525.2.gtf" "-o" "results/counts.txt" "results/SRR5578735.bam" "results/SRR5578736.bam" "results/SRR5578737.bam" "results/SRR5578738.bam" "results/SRR5578739.bam" "results/SRR5578740.bam" 
Geneid	results/SRR5578735.bam	results/SRR5578736.bam	results/SRR5578737.bam	results/SRR5578738.bam	results/SRR5578739.bam	results/SRR5578740.bam
gene-A1F92_RS00585	1686	1720	1873	261	210	223
gene-A1F92_RS00590	2103	2135	2316	2266	2095	2242
gene-A1F92_RS00595	30	13	14	11	11	15
gene-A1F92_RS00600	475	533	586	86	104	113
gene-A1F92_RS00605	156	167	199	378	331	328
gene-A1F92_RS00610	247	278	278	18	25	25
gene-A1F92_RS00615	643	719	742	47	60	56
gene-A1F92_RS00620	98	89	94	14	11	10
gene-A1F92_RS16170	68	64	54	31	19	16
gene-A1F92_RS00630	594	508	527	30	16	25
gene-A1F92_RS00635	20	15	18	17	9	4
gene-A1F92_RS00640	10	12	15	33	26	13
gene-A1F92_RS00645	20	21	12	70	40	87
gene-A1F92_RS00650	406	432	426	64	33	53
gene-A1F92_RS00655	228	316	302	131	101	139
gene-A1F92_RS00660	179	151	133	23	35	30
gene-A1F92_RS00665	131	162	155	76	69	71
gene-A1F92_RS00670	213	206	205	88	58	72
gene-A1F92_RS00675	850	1011	1030	455	369	488
gene-A1F92_RS00680	189	191	198	4	3	3
gene-A1F92_RS00685	68	74	85	47	33	51
gene-A1F92_RS00690	192	174	150	109	84	90
gene-A1F92_RS00695	55	39	46	59	55	43
gene-A1F92_RS00700	13	10	10	27	25	41
gene-A1F92_RS00705	5	1	5	20	13	18
gene-A1F92_RS00710	9	12	9	67	61	45
gene-A1F92_RS00715	166	168	173	44	24	32
gene-A1F92_RS00720	91	107	91	91	74	88
gene-A1F92_RS00725	200	200	177	243	244	226
gene-A1F92_RS00730	1018	976	1037	6069	5437	5149
gene-A1F92_RS00735	20	20	23	939	739	606
gene-A1F92_RS00740	14	20	15	422	410	301
gene-A1F92_RS00745	15	20	20	290	277	220
gene-A1F92_RS00750	41	46	54	517	423	358
gene-A1F92_RS00755	41	39	39	383	329	327
gene-A1F92_RS00760	123	136	154	915	707	692
gene-A1F92_RS00765	150	146	199	5	3	8
gene-A1F92_RS00770	3484	3734	3710	305	227	286
gene-A1F92_RS00775	173	158	189	92	69	85
gene-A1F92_RS00780	41	28	31	8	7	17
gene-A1F92_RS00785	53	44	34	6	1	4
gene-A1F92_RS00790	115	98	99	7	6	13
gene-A1F92_RS00795	302	311	329	30	28	42
gene-A1F92_RS00800	264	265	263	37	25	41
gene-A1F92_RS00805	257	272	236	10	13	17
gene-A1F92_RS00810	121	112	117	91	77	70
gene-A1F92_RS16175	183	203	174	13	8	17
gene-A1F92_RS16180	160	158	183	30	6	15
gene-A1F92_RS00820	607	648	661	163	136	202
gene-A1F92_RS16185	122	76	67	194	170	141
gene-A1F92_RS00825	370	413	362	125	113	119
gene-A1F92_RS00830	96	110	101	4	5	5
gene-A1F92_RS00835	36	37	29	3	0	5
gene-A1F92_RS00840	49	32	54	5	3	5
gene-A1F92_RS00845	94	134	126	6	10	15
gene-A1F92_RS00850	83	94	78	7	8	5
gene-A1F92_RS00855	91	104	110	266	231	226
gene-A1F92_RS00860	691	656	729	896	774	834
gene-A1F92_RS00865	677	603	584	87	68	117
gene-A1F92_RS00870	61	63	68	5	4	5
gene-A1F92_RS00875	238	290	274	14	5	24
gene-A1F92_RS00880	1615	1843	1783	67	67	101
gene-A1F92_RS00885	1076	933	843	39	45	52
gene-A1F92_RS00890	233	227	228	25	9	18
gene-A1F92_RS00895	245	289	316	19	11	9
gene-A1F92_RS00900	410	430	372	31	39	44
gene-A1F92_RS00905	146	167	152	18	22	29
gene-A1F92_RS00910	239	308	341	18	14	19
gene-A1F92_RS00915	108	132	139	3	5	11
gene-A1F92_RS00920	271	256	282	494	371	378
gene-A1F92_RS00925	351	399	424	835	608	678
gene-A1F92_RS00930	277	262	257	53	45	35
gene-A1F92_RS00935	57	70	55	20	16	22
gene-A1F92_RS00940	86	86	77	26	22	19
gene-A1F92_RS00945	443	375	369	102	102	145
gene-A1F92_RS00950	641	666	549	25	28	37
gene-A1F92_RS00955	1755	1642	1621	287	312	290
gene-A1F92_RS00960	260	271	332	220	266	257
gene-A1F92_RS00965	79	105	89	85	101	86
gene-A1F92_RS00970	274	289	267	451	444	426
gene-A1F92_RS00975	766	899	881	769	700	768
