# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "--countReadPairs" "-t" "transcript" "-g" "transcript_id" "-a" "references/GCF_001617525.2.gtf" "-o" "results/counts.txt" "results/SRR5578735.bam" "results/SRR5578736.bam" "results/SRR5578737.bam" "results/SRR5578738.bam" "results/SRR5578739.bam" "results/SRR5578740.bam" 
Geneid	results/SRR5578735.bam	results/SRR5578736.bam	results/SRR5578737.bam	results/SRR5578738.bam	results/SRR5578739.bam	results/SRR5578740.bam
gene-A1F92_RS02520	671	810	831	147	121	148
gene-A1F92_RS02525	508	564	540	111	86	96
gene-A1F92_RS02530	1467	1633	1662	260	238	300
gene-A1F92_RS02535	1471	1824	1694	454	411	465
gene-A1F92_RS02540	1669	1941	2018	593	630	634
gene-A1F92_RS02545	3352	3588	3320	202	195	298
gene-A1F92_RS02550	575	565	597	21	17	16
gene-A1F92_RS02555	1152	1154	1203	16	26	20
gene-A1F92_RS02560	671	724	712	26	31	50
gene-A1F92_RS02565	1772	1893	1867	59	63	79
gene-A1F92_RS02570	4468	5033	5025	13159	10532	10772
gene-A1F92_RS02575	812	883	880	1030	928	849
gene-A1F92_RS02580	625	642	622	609	490	565
gene-A1F92_RS02585	293	337	365	99	93	97
gene-A1F92_RS02605	1843	2097	1989	425	268	328
gene-A1F92_RS02610	1430	1601	1419	304	196	223
gene-A1F92_RS02615	9009	9586	9738	484	415	699
gene-A1F92_RS02620	1274	1439	1469	585	467	578
gene-A1F92_RS02625	418	403	425	172	155	195
gene-A1F92_RS02630	888	981	947	535	825	432
gene-A1F92_RS02635	637	671	708	324	305	321
gene-A1F92_RS02640	937	1084	1089	281	271	297
gene-A1F92_RS02645	371	383	375	95	93	107
gene-A1F92_RS02650	699	630	675	219	214	178
gene-A1F92_RS02655	976	1090	1104	27	39	75
gene-A1F92_RS02660	1628	1805	1781	43	47	92
gene-A1F92_RS02665	31844	32632	31925	20606	19797	19148
gene-A1F92_RS02670	44633	43629	43495	28177	26991	105261
gene-A1F92_RS02675	29375	31381	31028	18047	17513	17344
gene-A1F92_RS02680	19062	17313	17160	15094	16004	14632
gene-A1F92_RS02685	70	84	64	60	45	56
rna-A1F92_RS02690	2	4	6	0	0	1
gene-A1F92_RS02695	596	549	544	264	196	204
rna-A1F92_RS02700	5	1	5	0	0	0
gene-A1F92_RS02705	293	303	316	31	24	39
gene-A1F92_RS02710	682	661	700	55	40	73
gene-A1F92_RS02715	252	325	289	24	12	30
gene-A1F92_RS02720	424	443	398	23	13	25
gene-A1F92_RS02725	37	41	39	67	55	142
gene-A1F92_RS02730	353	275	295	155	144	230
gene-A1F92_RS02735	316	331	362	48	56	128
gene-A1F92_RS02740	25	18	27	31	23	81
gene-A1F92_RS02745	15	7	14	29	23	69
gene-A1F92_RS02750	29	36	40	83	61	231
gene-A1F92_RS02755	12	14	13	45	38	134
gene-A1F92_RS16210	4	5	6	19	24	55
gene-A1F92_RS02765	9	12	26	38	34	157
gene-A1F92_RS02770	27	43	53	161	173	421
gene-A1F92_RS02775	21	35	71	157	183	495
gene-A1F92_RS02780	6	6	12	37	22	124
gene-A1F92_RS02785	1	3	2	7	4	14
gene-A1F92_RS02790	2	8	6	25	40	86
gene-A1F92_RS02795	8	13	15	50	35	114
gene-A1F92_RS02800	13	10	13	13	21	70
gene-A1F92_RS02805	5	8	4	12	9	26
gene-A1F92_RS16215	0	3	2	6	2	5
gene-A1F92_RS02815	3	7	9	11	6	20
gene-A1F92_RS15990	4	5	6	20	11	23
gene-A1F92_RS02820	6	7	9	27	15	33
gene-A1F92_RS02825	19	18	28	47	31	108
gene-A1F92_RS15995	4	3	13	17	22	39
gene-A1F92_RS02835	19	27	34	47	29	114
rna-A1F92_RS02840	11	14	9	35	23	68
rna-A1F92_RS02845	8	6	5	7	1	9
gene-A1F92_RS16000	106	113	105	61	52	79
gene-A1F92_RS15970	7	9	5	7	3	5
gene-A1F92_RS02860	10	12	23	4	3	6
gene-A1F92_RS02865	48	70	61	20	18	27
gene-A1F92_RS02870	147	145	135	26	15	46
gene-A1F92_RS02875	78	109	109	16	35	32
gene-A1F92_RS02880	4	6	14	7	14	29
gene-A1F92_RS02885	12	20	20	27	13	42
gene-A1F92_RS02890	4	8	8	5	1	9
gene-A1F92_RS02895	1	1	1	9	3	8
gene-A1F92_RS02900	9	6	10	3	7	8
gene-A1F92_RS02905	4	2	2	5	1	9
gene-A1F92_RS02910	4	5	7	9	12	10
gene-A1F92_RS02915	5	12	16	15	11	18
gene-A1F92_RS02920	4	6	0	5	2	9
gene-A1F92_RS02925	86	101	112	39	36	84
gene-A1F92_RS02930	11	17	14	2	2	7
gene-A1F92_RS16220	16	25	29	8	9	17
gene-A1F92_RS16225	35	39	40	7	16	21
gene-A1F92_RS02940	36	46	37	7	7	15
gene-A1F92_RS02945	18	19	30	6	9	17
gene-A1F92_RS02950	17	19	19	9	8	17
gene-A1F92_RS02955	5	13	11	3	4	1
gene-A1F92_RS02960	6	0	1	0	1	1
gene-A1F92_RS02965	54	65	73	19	17	21
gene-A1F92_RS02970	15	18	22	1	0	7
gene-A1F92_RS02975	62	74	96	10	6	17
gene-A1F92_RS02980	221	198	192	205	136	92
gene-A1F92_RS02985	14	12	6	2	0	0
gene-A1F92_RS02995	948	959	937	422	349	332
gene-A1F92_RS03000	293	326	356	122	137	147
gene-A1F92_RS03005	130	153	181	22	25	32
gene-A1F92_RS03010	2291	2739	2593	204	171	208
gene-A1F92_RS03015	539	611	660	357	345	376
gene-A1F92_RS03020	4510	4888	4876	863	861	1027
gene-A1F92_RS03025	3257	3778	3692	402	271	493
gene-A1F92_RS03030	1346	1223	1229	231	151	250
gene-A1F92_RS03035	593	609	607	31	16	32
gene-A1F92_RS03040	667	689	654	41	43	50
rna-A1F92_RS03045	94	104	132	19	27	28
gene-A1F92_RS03050	2253	2518	2569	228	159	419
gene-A1F92_RS03055	535	635	597	91	92	139
gene-A1F92_RS03060	1178	1299	1303	203	191	235
gene-A1F92_RS03065	574	529	575	334	346	390
gene-A1F92_RS03070	684	752	738	104	77	141
gene-A1F92_RS03075	234	294	259	58	40	54
gene-A1F92_RS03080	1226	1422	1473	173	127	202
gene-A1F92_RS03085	543	543	548	101	90	134
gene-A1F92_RS03090	555	663	664	91	73	98
gene-A1F92_RS03095	658	733	651	186	179	253
gene-A1F92_RS03100	2851	3007	3082	1284	1181	1316
gene-A1F92_RS16230	56	46	49	16	11	17
gene-A1F92_RS16235	31	40	37	3	6	1
gene-A1F92_RS03115	39	36	39	3	3	1
gene-A1F92_RS03120	28	43	43	3	1	6
gene-A1F92_RS03125	65	77	74	8	6	12
gene-A1F92_RS03130	203	225	253	66	72	67
gene-A1F92_RS03135	726	839	841	175	125	129
gene-A1F92_RS03140	434	544	589	98	56	66
gene-A1F92_RS03145	426	489	395	43	46	47
gene-A1F92_RS03150	1501	1722	1743	172	151	175
gene-A1F92_RS03160	1431	1630	1740	189	137	198
gene-A1F92_RS03165	1526	1714	1737	582	487	588
gene-A1F92_RS03170	525	470	546	33	35	43
gene-A1F92_RS03175	2101	2504	2873	15003	12144	13392
gene-A1F92_RS03180	15242	17470	19576	58295	43871	54683
gene-A1F92_RS03185	3055	3543	3506	381	206	319
gene-A1F92_RS03190	964	1000	1049	211	174	162
gene-A1F92_RS03195	23	27	23	22	8	23
gene-A1F92_RS03200	169	212	192	17	13	21
gene-A1F92_RS03205	69	78	85	5	5	7
gene-A1F92_RS03210	7	14	12	0	0	1
gene-A1F92_RS03215	7990	7754	7781	46155	43175	40199
gene-A1F92_RS03220	4236	4486	4482	502	381	574
gene-A1F92_RS03225	1599	1771	1818	134	121	150
gene-A1F92_RS03230	1159	1113	1139	133	124	156
gene-A1F92_RS03235	607	687	670	169	160	186
gene-A1F92_RS03240	2774	3002	3156	637	570	729
gene-A1F92_RS03245	74	98	104	30	24	28
gene-A1F92_RS03250	99	126	158	86	54	55
gene-A1F92_RS03255	179	211	248	131	118	107
gene-A1F92_RS03260	129	187	196	196	175	193
gene-A1F92_RS03265	214	260	311	316	199	287
gene-A1F92_RS03270	721	713	883	419	381	376
gene-A1F92_RS03275	275	299	308	994	790	702
gene-A1F92_RS03280	620	571	595	1073	907	770
gene-A1F92_RS03285	1256	1499	1418	628	478	538
gene-A1F92_RS03290	2291	2471	2451	850	662	800
gene-A1F92_RS03295	2785	3215	3096	1328	1179	1168
gene-A1F92_RS03300	5582	5830	5930	4859	4165	4304
gene-A1F92_RS03305	379	412	424	146	141	118
gene-A1F92_RS03310	213	231	248	37	17	37
gene-A1F92_RS03315	138	164	190	34	21	33
gene-A1F92_RS03320	119	126	132	19	19	17
gene-A1F92_RS16240	80	75	84	11	10	7
gene-A1F92_RS16245	70	85	72	11	17	12
gene-A1F92_RS03330	86	82	79	18	8	17
gene-A1F92_RS03335	153	165	168	30	28	24
gene-A1F92_RS03340	83	83	74	25	19	30
gene-A1F92_RS03345	2074	2335	2423	1051	783	1055
gene-A1F92_RS03350	195	195	184	104	71	103
gene-A1F92_RS03355	87	81	97	69	49	42
gene-A1F92_RS03360	4968	4897	4816	2006	1907	1721
gene-A1F92_RS03365	225	226	190	19	14	15
gene-A1F92_RS03370	376	387	373	41	27	45
gene-A1F92_RS03375	109	107	123	124	115	137
gene-A1F92_RS03380	179	265	272	36	30	49
gene-A1F92_RS03385	222	273	246	121	116	135
gene-A1F92_RS03390	946	1151	1283	255	187	331
gene-A1F92_RS03395	2379	2707	2738	487	393	604
gene-A1F92_RS03400	1540	1643	1629	1579	1332	1633
gene-A1F92_RS03405	256	308	345	748	764	735
gene-A1F92_RS03410	336	441	420	1243	1133	1180
gene-A1F92_RS03415	549	590	516	80	85	81
gene-A1F92_RS03420	761	841	935	51	50	94
gene-A1F92_RS03425	1424	1607	1644	111	63	125
gene-A1F92_RS03430	1737	1962	1974	115	109	154
gene-A1F92_RS03435	7674	8790	9171	3553	4015	3663
gene-A1F92_RS03440	437	450	419	123	110	135
gene-A1F92_RS03445	3798	3747	3561	5799	5214	5690
rna-A1F92_RS03450	11	5	9	0	0	2
gene-A1F92_RS03455	214	248	300	47	46	60
gene-A1F92_RS03460	17599	18275	17536	17149	13557	13847
gene-A1F92_RS03465	118260	120623	120505	205485	172439	176170
gene-A1F92_RS03470	36438	37681	37971	48315	43301	42779
gene-A1F92_RS03475	23404	23762	24341	34896	32100	30077
gene-A1F92_RS03480	61778	63215	63006	81905	73467	72860
gene-A1F92_RS03490	306	368	395	128	87	105
gene-A1F92_RS03495	785	957	890	128	97	114
gene-A1F92_RS03500	3451	3360	3269	325	192	298
gene-A1F92_RS03505	1001	1148	1092	157	113	133
gene-A1F92_RS03510	6618	7129	6994	808	725	853
gene-A1F92_RS03515	1778	1747	1783	394	372	421
gene-A1F92_RS03520	306	351	379	101	87	101
gene-A1F92_RS03525	5625	6493	6458	427	396	419
gene-A1F92_RS03530	6692	7583	7393	1110	1002	1170
gene-A1F92_RS03535	369	415	446	568	502	501
gene-A1F92_RS03540	606	604	550	627	598	671
gene-A1F92_RS03545	689	796	742	711	638	621
gene-A1F92_RS03550	1535	1605	1621	2976	2542	2582
gene-A1F92_RS03555	128	156	118	121	80	85
gene-A1F92_RS03560	140	159	167	102	77	92
gene-A1F92_RS03565	433	451	512	154	111	145
gene-A1F92_RS03570	402	480	476	110	68	88
gene-A1F92_RS03575	338	399	366	79	47	68
gene-A1F92_RS03580	1348	1539	1547	125	55	114
gene-A1F92_RS03585	1140	1239	1154	101	95	133
gene-A1F92_RS03590	516	591	582	383	289	300
gene-A1F92_RS03595	1336	1464	1561	2035	1947	2082
gene-A1F92_RS03600	1184	1310	1229	70	54	81
gene-A1F92_RS03605	1257	1463	1320	113	114	127
gene-A1F92_RS03610	4141	4492	4487	713	656	737
gene-A1F92_RS03615	11759	12990	14209	10447	10101	10498
gene-A1F92_RS03620	162	234	195	110	101	111
gene-A1F92_RS03625	814	910	901	217	208	237
gene-A1F92_RS03630	58	54	60	146	68	89
gene-A1F92_RS03635	185	219	226	1439	875	929
gene-A1F92_RS03640	0	0	0	0	0	0
gene-A1F92_RS03645	506	507	524	222	139	132
gene-A1F92_RS03650	191	201	194	37	20	23
gene-A1F92_RS03655	361	344	357	67	55	104
gene-A1F92_RS03665	53	52	55	14	1	9
gene-A1F92_RS03675	105	110	114	4	10	18
gene-A1F92_RS03680	24	34	30	4	0	2
rna-A1F92_RS03685	2	3	4	0	0	2
gene-A1F92_RS03690	2674	2624	2781	25755	19561	20269
gene-A1F92_RS03695	2451	2681	2614	353	210	316
gene-A1F92_RS03700	1025	1022	978	48	52	80
gene-A1F92_RS03705	48	53	59	28	33	40
gene-A1F92_RS03710	1055	1225	1248	927	797	866
gene-A1F92_RS03715	1794	2194	2123	619	599	689
gene-A1F92_RS03720	540	669	684	87	61	67
gene-A1F92_RS03725	324	329	283	76	51	46
gene-A1F92_RS03730	8	11	12	1	3	3
gene-A1F92_RS16010	263	262	242	122	88	102
gene-A1F92_RS03740	618	669	627	39	23	35
gene-A1F92_RS03745	149	118	108	379	353	355
gene-A1F92_RS03750	26	22	22	44	43	44
gene-A1F92_RS03755	397	412	432	2812	2363	2395
gene-A1F92_RS03760	1244	1303	1267	292	289	368
gene-A1F92_RS03765	822	867	884	61	56	61
gene-A1F92_RS03770	2623	2870	2850	103	125	123
gene-A1F92_RS03775	1159	1189	1267	126	133	132
gene-A1F92_RS03780	199	238	214	73	53	70
gene-A1F92_RS03785	214	225	224	40	45	60
gene-A1F92_RS03790	502	547	583	9	18	21
gene-A1F92_RS03795	73	82	78	16	8	12
gene-A1F92_RS03800	172	180	185	7	8	13
gene-A1F92_RS03805	472	456	455	67	36	48
gene-A1F92_RS16015	842	811	791	67	74	166
gene-A1F92_RS03815	283	285	256	13	12	16
gene-A1F92_RS03820	498	550	574	160	77	110
gene-A1F92_RS03825	964	1072	1031	154	100	155
gene-A1F92_RS03830	1689	1976	1771	211	203	221
gene-A1F92_RS03835	621	697	716	245	246	302
gene-A1F92_RS03840	141	127	169	21	20	20
gene-A1F92_RS03845	148	157	137	51	43	61
gene-A1F92_RS03850	213	179	159	88	73	74
gene-A1F92_RS03860	1137	1230	1119	61	52	89
gene-A1F92_RS03865	1227	1310	1294	103	98	116
gene-A1F92_RS03870	997	1093	1163	122	97	133
gene-A1F92_RS03875	1148	1293	1289	226	184	243
gene-A1F92_RS03880	14	16	17	1	3	2
gene-A1F92_RS03885	5	8	6	0	1	2
gene-A1F92_RS03890	18	15	29	7	4	4
gene-A1F92_RS03895	21	22	26	15	11	16
gene-A1F92_RS03900	511	576	579	24	19	19
gene-A1F92_RS03910	124	170	120	17	9	8
gene-A1F92_RS03915	737	779	846	59	40	59
gene-A1F92_RS03920	70	69	84	2	6	6
gene-A1F92_RS03925	194	181	206	14	10	21
gene-A1F92_RS03930	351	418	406	5	4	14
gene-A1F92_RS03935	141	144	146	28	29	31
gene-A1F92_RS03940	1855	1950	1913	1316	1254	1364
gene-A1F92_RS03945	143	150	109	40	50	43
gene-A1F92_RS03950	5	5	7	0	1	1
gene-A1F92_RS03955	2711	2071	2137	3503	2872	2883
gene-A1F92_RS03960	985	1104	1113	91	96	102
gene-A1F92_RS03965	694	753	801	42	52	49
gene-A1F92_RS03970	639	737	734	70	74	99
gene-A1F92_RS03975	325	407	405	34	25	37
gene-A1F92_RS03980	11	13	7	1	2	0
gene-A1F92_RS03985	30	32	41	2	2	7
gene-A1F92_RS03990	63	77	61	10	6	18
gene-A1F92_RS03995	526	435	395	8	18	27
gene-A1F92_RS04000	1419	1883	1953	349	291	444
gene-A1F92_RS04005	92	124	93	10	10	11
gene-A1F92_RS04010	322	376	341	15	11	24
gene-A1F92_RS04015	12156	13523	13777	5620	4847	5620
gene-A1F92_RS04020	140	167	167	33	24	22
gene-A1F92_RS04025	163	158	158	431	326	391
gene-A1F92_RS04030	33	33	30	67	71	72
gene-A1F92_RS04035	194	236	271	70	61	56
rna-A1F92_RS04040	1	0	0	1	0	0
gene-A1F92_RS04045	298	329	390	64	60	72
gene-A1F92_RS04050	177	219	236	47	32	46
gene-A1F92_RS04055	40	50	59	17	8	14
gene-A1F92_RS04060	129	126	160	16	13	24
gene-A1F92_RS16255	17	16	22	14	13	13
gene-A1F92_RS04070	7	4	3	0	1	0
gene-A1F92_RS04075	35	33	55	78	56	76
gene-A1F92_RS04080	22	17	25	6	10	5
gene-A1F92_RS04085	9	10	8	3	2	3
gene-A1F92_RS04090	270	308	314	27	20	36
gene-A1F92_RS04095	243	250	289	66	45	81
gene-A1F92_RS04100	79	92	131	86	49	54
gene-A1F92_RS04105	243	301	319	77	69	71
gene-A1F92_RS04110	944	1106	1165	222	212	230
gene-A1F92_RS04115	254	289	274	29	26	29
gene-A1F92_RS04120	66	81	89	45	26	40
gene-A1F92_RS04125	1	2	0	0	1	0
gene-A1F92_RS04130	2	4	4	0	0	1
gene-A1F92_RS04135	14	9	6	3	0	4
gene-A1F92_RS04140	7	3	5	5	2	0
gene-A1F92_RS04145	41	73	64	7	4	7
gene-A1F92_RS04150	690	756	744	98	85	105
gene-A1F92_RS04155	901	942	1004	1727	1304	1574
gene-A1F92_RS04160	1504	1820	2039	3133	2238	2869
gene-A1F92_RS04165	347	381	443	851	605	818
gene-A1F92_RS04170	1174	1356	1475	3070	2148	2930
gene-A1F92_RS04175	983	1026	1159	3877	2752	3228
gene-A1F92_RS04180	180	164	156	73	49	50
gene-A1F92_RS04185	110	100	125	45	30	35
gene-A1F92_RS04190	21	38	33	0	1	4
gene-A1F92_RS04195	36	40	31	3	0	1
gene-A1F92_RS04200	1621	1738	1675	576	566	628
gene-A1F92_RS16455	3625	3752	3532	651	562	559
gene-A1F92_RS04210	2038	2172	2068	447	375	433
gene-A1F92_RS04215	1158	1165	1147	399	411	351
gene-A1F92_RS04220	79	80	70	29	25	25
gene-A1F92_RS04225	4	2	3	3	10	6
gene-A1F92_RS16275	11	14	9	4	1	0
gene-A1F92_RS04235	84	120	84	7	3	8
gene-A1F92_RS04240	72	86	61	22	21	25
gene-A1F92_RS04245	8	10	11	6	4	3
gene-A1F92_RS04250	35	22	34	48	23	27
gene-A1F92_RS04255	36	33	34	61	59	54
gene-A1F92_RS04260	39	46	48	70	68	60
gene-A1F92_RS04265	33	49	53	79	66	92
gene-A1F92_RS04270	33	34	52	76	45	78
gene-A1F92_RS04275	219	236	249	286	249	263
gene-A1F92_RS04280	134	117	150	22	29	38
gene-A1F92_RS04285	517	584	597	109	90	122
gene-A1F92_RS04290	306	357	328	34	30	47
gene-A1F92_RS04295	1603	1725	1609	398	427	441
gene-A1F92_RS04300	60	63	65	122	79	99
gene-A1F92_RS04305	20	14	20	29	34	31
gene-A1F92_RS04310	597	570	635	152	102	128
gene-A1F92_RS04315	621	715	733	76	69	98
gene-A1F92_RS04320	730	812	799	97	115	124
gene-A1F92_RS04325	118	134	126	5	11	11
gene-A1F92_RS04330	85	79	70	32	22	23
gene-A1F92_RS04335	156	157	188	46	51	40
gene-A1F92_RS04340	777	775	746	82	68	91
gene-A1F92_RS04345	378	393	355	72	55	61
gene-A1F92_RS04350	969	1032	1024	653	566	686
gene-A1F92_RS04355	463	501	507	209	166	207
gene-A1F92_RS04360	160	166	154	73	32	52
gene-A1F92_RS04365	51	35	38	4	7	7
gene-A1F92_RS04370	78	72	64	14	15	17
gene-A1F92_RS04375	2303	2486	2589	114	99	148
gene-A1F92_RS04380	5219	5690	5700	275	299	356
gene-A1F92_RS04385	8022	8845	8574	347	307	385
gene-A1F92_RS04390	53	59	67	1	2	0
gene-A1F92_RS04395	114	132	133	3	0	3
gene-A1F92_RS04400	1150	1092	1014	19	26	39
gene-A1F92_RS04405	3	6	4	0	0	1
gene-A1F92_RS04425	125	120	132	12	14	12
gene-A1F92_RS04435	189	208	236	12	11	26
gene-A1F92_RS04440	424	457	445	25	26	40
gene-A1F92_RS04445	80	71	101	17	7	14
gene-A1F92_RS04450	651	691	675	91	54	84
gene-A1F92_RS04455	1042	1138	1041	1303	1002	1059
gene-A1F92_RS04460	72289	67442	69473	3398	3678	4009
gene-A1F92_RS04465	335	332	293	218	344	171
gene-A1F92_RS04470	300	277	299	141	114	129
gene-A1F92_RS04475	1043	1064	1059	50	42	59
gene-A1F92_RS04480	610	561	576	16	8	23
gene-A1F92_RS04485	690	712	668	440	404	463
gene-A1F92_RS04490	88	96	102	10	11	9
gene-A1F92_RS04495	96	118	118	46	35	41
gene-A1F92_RS04500	2167	2248	2272	549	453	559
gene-A1F92_RS04505	1563	1742	1742	82	87	117
gene-A1F92_RS04510	1464	1508	1449	883	640	775
gene-A1F92_RS04515	365	445	433	39	19	46
gene-A1F92_RS04520	3563	3605	3557	409	429	420
rna-A1F92_RS04525	724	707	714	30	22	48
rna-A1F92_RS04530	24	41	53	0	0	3
rna-A1F92_RS04535	6	16	7	1	0	1
rna-A1F92_RS04540	70	85	117	1	2	0
rna-A1F92_RS04545	9	13	14	0	1	2
rna-A1F92_RS04550	4	5	13	0	0	1
rna-A1F92_RS04555	8	13	18	0	0	0
gene-A1F92_RS04560	963	990	1048	383	262	330
gene-A1F92_RS04565	6241	6943	6882	2960	1926	2548
gene-A1F92_RS04570	388	411	422	1270	911	929
gene-A1F92_RS04575	26087	28317	29125	16564	14169	15819
gene-A1F92_RS04580	41416	43019	43159	33853	29457	35616
gene-A1F92_RS04585	79	87	73	8	8	11
gene-A1F92_RS04590	17116	17907	16820	2612	2656	2633
gene-A1F92_RS04595	16954	18234	18644	6944	7119	7167
gene-A1F92_RS04600	62428	62775	63473	29892	28858	30356
gene-A1F92_RS04605	16052	17226	17504	721	659	1032
gene-A1F92_RS04610	18585	19678	19433	2238	2540	2896
gene-A1F92_RS04615	15062	15247	15465	2293	2059	2461
gene-A1F92_RS04620	4907	5148	5157	1119	959	1110
gene-A1F92_RS04625	20620	21405	21483	5620	5494	6014
gene-A1F92_RS04630	7391	7409	7454	2690	2246	2577
gene-A1F92_RS04635	6643	7325	7497	2349	2238	2374
gene-A1F92_RS04640	13217	13301	13698	4922	4515	4962
gene-A1F92_RS04645	6945	6805	7002	4022	3628	3796
gene-A1F92_RS04650	3785	4316	4362	2105	1803	1950
gene-A1F92_RS04655	5498	5544	5945	4263	3833	3358
gene-A1F92_RS04660	6706	6850	7272	4681	4048	4473
gene-A1F92_RS04665	7614	8400	8452	5140	4301	4874
gene-A1F92_RS04670	9996	9682	9920	8307	7063	7310
gene-A1F92_RS04675	4752	5026	5363	5075	3048	3281
gene-A1F92_RS04680	6497	6741	6880	5775	4642	4848
gene-A1F92_RS04685	10124	10346	10918	9075	7407	7537
gene-A1F92_RS04690	7990	8681	8993	7516	6669	6640
gene-A1F92_RS04695	11242	11852	12168	12275	10594	11251
gene-A1F92_RS04700	3155	3589	3598	3237	2567	2921
gene-A1F92_RS04705	7241	6868	7362	13362	9955	9611
gene-A1F92_RS04710	26223	27482	27597	38062	36129	33297
gene-A1F92_RS04715	6915	6627	6656	7952	7506	6772
gene-A1F92_RS04720	4336	4635	4521	3305	2922	2845
gene-A1F92_RS04725	1455	1804	1650	1701	1387	1318
gene-A1F92_RS04730	7947	8450	8732	8628	7951	7512
gene-A1F92_RS04735	8106	8311	8537	10995	8901	9224
gene-A1F92_RS04740	20323	21652	21799	28373	23126	24710
gene-A1F92_RS04745	9915	9318	9483	20116	17461	18049
gene-A1F92_RS04750	351	362	380	47	47	69
gene-A1F92_RS04755	158	147	168	16	26	18
gene-A1F92_RS04760	136	157	136	22	15	16
gene-A1F92_RS04765	1310	1396	1441	1452	1240	1465
gene-A1F92_RS04770	725	700	663	566	564	619
gene-A1F92_RS04775	295	328	318	111	75	71
gene-A1F92_RS04780	501	602	533	71	66	80
gene-A1F92_RS04785	892	1116	1078	132	75	129
gene-A1F92_RS04790	1077	1257	1306	191	181	222
gene-A1F92_RS04795	369	468	462	51	47	54
gene-A1F92_RS04800	30396	32370	31247	2452	2320	2869
gene-A1F92_RS04805	16976	16445	16184	3872	3769	4401
gene-A1F92_RS04810	1878	2123	2050	92	51	87
gene-A1F92_RS04815	4	4	6	4	6	6
gene-A1F92_RS04820	30	22	20	9	4	5
gene-A1F92_RS04825	27	32	31	5	2	14
gene-A1F92_RS04830	9	11	11	1	2	6
gene-A1F92_RS04835	43	72	67	10	12	18
gene-A1F92_RS04840	89	85	71	21	16	22
gene-A1F92_RS04845	41	52	60	7	15	16
gene-A1F92_RS04850	13	6	9	1	1	2
gene-A1F92_RS04855	8	19	13	2	1	1
gene-A1F92_RS04860	24	27	18	1	0	3
gene-A1F92_RS04865	71	64	78	6	4	5
gene-A1F92_RS04870	73	84	79	20	12	9
gene-A1F92_RS04875	40	37	38	1	6	3
gene-A1F92_RS04880	48	53	64	7	10	9
gene-A1F92_RS04885	83	115	128	10	14	15
gene-A1F92_RS04890	160	229	193	5	5	6
gene-A1F92_RS04895	564	536	564	286	265	275
gene-A1F92_RS04900	428	457	457	377	387	382
gene-A1F92_RS04905	447	484	517	170	148	177
gene-A1F92_RS04910	839	834	800	161	128	168
gene-A1F92_RS04915	523	544	611	277	239	237
gene-A1F92_RS04920	164	194	236	405	373	415
gene-A1F92_RS04925	780	819	861	2128	1800	2038
gene-A1F92_RS04930	1636	1652	1676	4820	4302	4493
gene-A1F92_RS04935	98	128	103	50	51	48
gene-A1F92_RS04940	1648	1621	1592	721	582	621
gene-A1F92_RS04945	530	520	572	428	424	426
gene-A1F92_RS04950	162	167	202	105	111	91
gene-A1F92_RS04955	320	385	426	205	181	181
gene-A1F92_RS04960	0	3	0	0	0	1
gene-A1F92_RS04965	54	71	61	27	18	24
gene-A1F92_RS04970	282	297	378	1076	866	921
gene-A1F92_RS04975	217	253	306	708	596	708
gene-A1F92_RS04980	322	378	406	53	43	45
gene-A1F92_RS04985	212	216	204	70	46	57
gene-A1F92_RS16020	59	62	43	4	9	8
gene-A1F92_RS04995	48	93	72	2	1	7
gene-A1F92_RS05000	1192	1297	1259	658	504	619
gene-A1F92_RS05005	1149	1315	1241	1266	1086	1313
gene-A1F92_RS05010	458	522	544	42	52	38
gene-A1F92_RS05015	821	891	859	312	325	339
gene-A1F92_RS05025	49	49	69	33	18	29
gene-A1F92_RS05030	347	397	393	140	109	137
gene-A1F92_RS05035	475	502	516	81	56	47
gene-A1F92_RS05040	1500	1615	1737	1463	1404	1509
gene-A1F92_RS05045	217	211	215	23	12	35
gene-A1F92_RS05050	453	558	517	61	49	58
gene-A1F92_RS05055	558	572	652	96	101	106
gene-A1F92_RS05060	2309	2679	2655	654	544	679
gene-A1F92_RS05065	2031	2222	2246	222	156	216
gene-A1F92_RS05070	3005	3482	3418	372	299	384
gene-A1F92_RS05075	2294	2478	2546	379	283	416
gene-A1F92_RS05080	724	852	774	181	142	161
gene-A1F92_RS05085	4260	4749	4688	1225	938	1266
gene-A1F92_RS05090	4883	5261	5263	2009	1658	1902
gene-A1F92_RS05095	3948	4153	3985	2226	2150	2822
gene-A1F92_RS05100	1709	1893	1763	193	183	206
gene-A1F92_RS05105	1482	1655	1628	771	635	745
gene-A1F92_RS05110	659	731	668	450	2600	402
gene-A1F92_RS05115	123	141	123	23	16	17
gene-A1F92_RS05120	84	76	83	15	6	16
gene-A1F92_RS05125	402	376	453	114	74	93
gene-A1F92_RS05130	410	423	472	95	70	96
gene-A1F92_RS05135	550	534	512	489	368	482
gene-A1F92_RS05140	34202	30734	29234	664	513	643
gene-A1F92_RS05145	530	545	487	158	104	158
gene-A1F92_RS05150	886	880	857	206	208	234
rna-A1F92_RS05155	3	1	4	0	0	1
gene-A1F92_RS05160	148	186	255	2244	1997	2093
gene-A1F92_RS05165	129	157	158	25	22	26
gene-A1F92_RS05170	235	288	325	68	56	78
gene-A1F92_RS05175	238	240	214	154	126	154
